Numero,id,Titulo,Views
1,EMm1nPzChyI,Produção Racional e Sustentável de Ovinos nos Tabuleiros Costeiros,319729
2,EfjUDCPma2k,Produção racional e sustentável de ovinos nos Tabuleiros Costeiros,31533
3,zyO3L6OZp84,Manejo de crias na Ovinocaprinocultura,195531
4,xOFKSxXx_Dc,Manejo sanitário de ovinos e caprinos - Dia de Campo na TV,362973
5,tXntAHuKaaU,Sistema silvipastoril com uso de gliricídia : parte 1 - Dia de Campo na TV,163034
6,FW8XRUXhcZI,Aquaponia: produção integrada de peixes e hortaliças,138235
7,elXImOSUr0Q,Adubação verde do coqueiro com gliricídia,25793
8,0TAyrBibNFQ,Mapeamento da mangaba no Brasil,16332
9,4OgVyKCjeKI,Técnica propicia parto múltiplo em ovelhas,9842
10,g7cB5MExYuI,Embrapa alerta para praga letal do coqueiro,9214
11,ZLLoBaxp3Ok,Cultivo da mangabeira : parte 2 - Dia de Campo na TV,36799
12,tUQct2S46pc,FertOnline mostra como adubar plantio de coqueiro,4774
13,9p_6pZCYVok,Introdução da Soja no Nordeste,4091
14,w-ZVY2mm6GU,Revitalização da cultura do coqueiro gigante no Brasil : parte 1 - Dia de Campo na TV,16893
15,a7KlRMEgOvY,Cultivo da mangabeira : parte 1 -  Dia de Campo na TV,16409
16,lqbS2fVaZCE,Sistema silvipastoril com uso de gliricídia : parte 2 - Dia de Campo na TV,14787
17,qvfHyXuiB8w,Revitalização da cultura do coqueiro gigante no Brasil : parte 2 - Dia de Campo na TV,10875
18,dGYrMh-VhAw,Dia de Campo na TV - Boas Praticas de Biometria na Produção de Peixes,4108
19,iMF7XbefzXg,Conservação de variedades crioulas no Semiárido - Dia de Campo na TV,1996
20,HSIaTLgr2bU,Mapeamento da mangaba no Brasil,731
